Date,Total Profit,Value
2000-08-18,"(-15244.337200000002, [nan, nan, nan, nan, nan, 'HOLD', nan, 'HOLD', 'HOLD', nan, nan, 'BUY', nan], ['KCN', 'LCN', 'LHN', 'SN'])",-15244.337200000002
2000-08-21,"(37605.6628, [nan, nan, nan, nan, nan, 'HOLD', nan, 'HOLD', 'HOLD', nan, nan, 'HOLD', nan], ['KCN', 'LCN', 'LHN', 'SN'])",37605.6628
2000-08-22,"(-4219.337200000001, [nan, nan, nan, nan, nan, 'HOLD', nan, 'HOLD', 'HOLD', nan, nan, 'HOLD', nan], ['KCN', 'LCN', 'LHN', 'SN'])",-4219.337200000001
2000-08-23,"(1530.6627999999992, [nan, nan, nan, nan, nan, 'HOLD', nan, 'HOLD', 'HOLD', nan, nan, 'HOLD', nan], ['KCN', 'LCN', 'LHN', 'SN'])",1530.6627999999992
2000-08-24,"(28175.6628, [nan, nan, nan, nan, nan, 'HOLD', nan, 'HOLD', 'HOLD', nan, nan, 'HOLD', nan], ['KCN', 'LCN', 'LHN', 'SN'])",28175.6628
2000-08-25,"(26335.6628, [nan, nan, nan, nan, nan, 'HOLD', nan, 'HOLD', 'HOLD', nan, nan, 'HOLD', nan], ['KCN', 'LCN', 'LHN', 'SN'])",26335.6628
2000-08-28,"(124335.0347, [nan, 'SELL', nan, nan, nan, 'HOLD', nan, 'HOLD', 'HOLD', nan, nan, 'HOLD', nan], ['CCN', 'KCN', 'LCN', 'LHN', 'SN'])",124335.0347
2000-08-29,"(253127.5347, [nan, 'HOLD', nan, nan, nan, 'HOLD', nan, 'HOLD', 'HOLD', nan, nan, 'HOLD', nan], ['CCN', 'KCN', 'LCN', 'LHN', 'SN'])",253127.5347
2000-08-30,"(220565.0347, [nan, 'HOLD', nan, nan, nan, 'HOLD', nan, 'HOLD', 'HOLD', nan, nan, 'HOLD', nan], ['CCN', 'KCN', 'LCN', 'LHN', 'SN'])",220565.0347
2000-08-31,"(493423.1003, [nan, 'BUY', nan, nan, nan, 'HOLD', nan, 'HOLD', 'HOLD', nan, nan, 'BUY', nan], ['CCN', 'KCN', 'LCN', 'LHN', 'SN'])",493423.1003
2000-09-01,"(468320.5595, ['BUY', nan, nan, 'BUY', nan, 'HOLD', nan, 'HOLD', 'BUY', nan, nan, 'HOLD', nan], ['BON', 'CN', 'KCN', 'LCN', 'LHN', 'SN'])",468320.5595
2000-09-05,"(589342.4245, ['BUY', nan, nan, 'HOLD', nan, 'HOLD', nan, 'HOLD', nan, nan, nan, 'HOLD', nan], ['BON', 'CN', 'KCN', 'LCN', 'SN'])",589342.4245
2000-09-06,"(344470.6355, ['BUY', nan, nan, 'HOLD', nan, 'HOLD', nan, 'HOLD', nan, nan, nan, 'HOLD', nan], ['BON', 'CN', 'KCN', 'LCN', 'SN'])",344470.6355
2000-09-07,"(259862.1535, ['SELL', nan, nan, 'SELL', nan, 'HOLD', nan, 'HOLD', nan, nan, nan, 'HOLD', nan], ['BON', 'CN', 'KCN', 'LCN', 'SN'])",259862.1535
2000-09-08,"(222149.501, [nan, nan, nan, nan, nan, 'BUY', nan, 'BUY', nan, nan, nan, 'SELL', nan], ['KCN', 'LCN', 'SN'])",222149.501
2000-09-11,"(220771.497, ['BUY', nan, nan, nan, nan, nan, nan, 'SELL', nan, nan, nan, 'BUY', nan], ['BON', 'LCN', 'SN'])",220771.497
2000-09-12,"(240920.107, ['BUY', nan, nan, nan, nan, nan, nan, 'HOLD', nan, nan, nan, 'BUY', nan], ['BON', 'LCN', 'SN'])",240920.107
